dataset_id,dataset_family,dataset_name,provider_name,provider_type,primary_url,api_url,download_url,documentation_url,metadata_url,access_type,api_available,api_type,supports_bulk_download,requires_registration,rate_limits,authentication_method,data_format_primary,data_format_secondary,metadata_standard,compression,coordinate_reference_system,grid_type,description_short,description_long,primary_variables,derived_variables,spatial_representation,intended_use_cases,spatial_scope,spatial_resolution,spatial_units,geographic_coverage_notes,temporal_coverage_start,temporal_coverage_end,temporal_resolution,update_frequency,timeliness,real_time_capability,first_release_year,current_version,versioning_scheme,maintenance_status,last_update_date,update_log_url,license_type,license_url,usage_constraints,citation_requirement,redistribution_allowed,quality_flags_available,uncertainty_fields_available,validation_method,dataset_limitations,related_datasets,parent_collection,child_datasets,duplicate_with,superseded_by,belongs_to_MCP_server,contact_email,contact_form_url,institution_country,funding_agency,notes_internal,notes_for_MCP_wrapping,notes_for_agent_usage,provider,description,api_endpoint,thematic_type,temporal_coverage,data_formats,licence,notes,source_type,auth_env_hints,registration_required,registration_url
copernicus_climate_data_store,Copernicus Climate Data Store (CDS),Climate Data Store,Copernicus Climate Change Service (C3S),European climate service,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/how-to-api,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/user-guide,https://cds.climate.copernicus.eu/how-to-api,open with registration,True,CDS API,True,True,,,,,,,,,"Open-source Python tools simplifying data access, processing, analysis, visualisation and much more",,,,,"climate reanalysis, seasonal forecasts, climate indicators",global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Umbrella collection; treat this as a family root. Manual mapping applied for pattern 'cds.climate.copernicus.eu'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
copernicus_land_cover_classification_gridded_maps_f,Copernicus Climate Data Store (CDS),Land cover classification gridded maps from 1992 to present derived from satellite observations,Copernicus Climate Change Service (C3S),European climate service,https://cds.climate.copernicus.eu/datasets/satellite-land-cover?tab=overview,https://cds.climate.copernicus.eu/stac-browser/collections/satellite-land-cover,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/user-guide,https://cds.climate.copernicus.eu/datasets/satellite-land-cover?tab=quality_assurance_tab#qa_metadata,open with registration,True,CDS API,True,True,,,,,,,,,"This dataset provides global maps describing the land surface into 22 classes, which have been defined using the United Nations Food and Agriculture Organization’s (UN FAO) Land Cover Classification System (LCCS). In addition to the land cover  (LC) maps, four quality flags are produced to docume...",,,,,"climate reanalysis, seasonal forecasts, climate indicators",global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Umbrella collection; treat this as a family root. Manual mapping applied for pattern 'cds.climate.copernicus.eu'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
euroveg_eva-database-re-survey-europe,,eva-database-re-survey-europe,EUROVEG,,http://euroveg.org/eva-database-re-survey-europe,,,,,,False,,False,,,,,,,,,,,,,,,,continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
google_earth_engine_data_catalog_ | _google_for,,Earth Engine Data Catalog  |  Google for Developers,GOOGLE,,https://developers.google.com/earth-engine/datasets/,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,registration or restricted,True,,True,True,,,,,,,,,"Google Earth Engine combines a multi-petabyte catalog of satellite imagery and geospatial datasets with planetary-scale analysis capabilities and makes it available for scientists, researchers, and developers to detect changes, map trends, and quantify differences on the Earth's surface.",,,,,,continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
google_copernicus_global_land_cover_layers:_cgl,,Copernicus Global Land Cover Layers: CGLS-LC100 Collection 3  |  Earth Engine Data Catalog  |  Google for Developers,GOOGLE,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global#description,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,registration or restricted,True,,True,True,,,,,,,,,The Copernicus Global Land Service (CGLS) is earmarked as a component of the Land service to operate a multi-purpose service component that provides a series of bio-geophysical products on the status and evolution of land surface at global scale. The Dynamic Land Cover map at 100 m resolution (CG...,,,,,,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
google_dynamic_world_v1_ | _earth_engine_data_c,Dynamic World,Dynamic World V1 global near-real-time land cover,Google / World Resources Institute,tech company + NGO,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,open with terms,True,GEE dataset ID,True,True,,,,,GEE internal,,,,Dynamic World is a 10m near-real-time (NRT) Land Use/Land Cover (LULC) dataset that includes class probabilities and label information for nine classes. Dynamic World predictions are available for the Sentinel-2 L1C collection from 2015-06-27 to present. The revisit frequency of Sentinel-2 is bet...,,land cover class probabilities (10 classes),,raster grid,"near-real-time land cover, deforestation monitoring, land-use change analysis",global,10 m,meters,,,,5 days (Sentinel-2 revisit),near-real-time,,,,,,,,,,,,,,,,,,,,,,,EO/Land Cover MCP,,,,,High-frequency global land cover; great for change detection. Manual mapping applied for pattern 'developers.google.com/earth-engine/datasets/catalog/google_dynamicworld_v1'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
copernicus_catalogue_—_climate_data_store,Copernicus Climate Data Store (CDS),Catalogue — Climate Data Store,Copernicus Climate Change Service (C3S),European climate service,https://cds.climate.copernicus.eu/datasets,,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/user-guide,,open with registration,True,CDS API,True,True,,,,,,,,,Search for datasets inside the CDS catalogue,,,,,"climate reanalysis, seasonal forecasts, climate indicators",global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Umbrella collection; treat this as a family root. Manual mapping applied for pattern 'cds.climate.copernicus.eu'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ugent_forestreplot_database,,forestREplot database,UGENT,,https://forestreplot.ugent.be/,,https://forestreplot.ugent.be/data.html,,,open,False,,True,False,,,,,,,,,"forestREplot is a database of forest herb layer resurvey plots, spread across the temperate zones of the globe.",,,,,,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
"maaamet_wms,_wfs,_wcs_teenused_|_geoportaal_|_ma",Maa-amet Geoportaal,"WMS, WFS, WCS teenused | Geoportaal | Maa- ja Ruumiamet",Maa-amet (Estonian Land Board),national mapping agency,https://geoportaal.maaamet.ee/est/teenused/wms-wfs-wcs-teenused-p65.html,https://geoportaal.maaamet.ee/est/teenused/wms-wfs-wcs-teenused-p65.html,,https://geoportaal.maaamet.ee/est/teenused/in-ads/in-ads-konteinerlahendus/in-ads-konteinerlahenduse-paigaldusjuhis-p925.html,,open with terms,True,OGC WMS/WFS/WCS,False,True,,,,,,,,,"Geoportaal - Maa ja Ruumiameti ruumiandmete veebileht: kaardirakendused, ruumiandmed, kaardid, teenused, andmete allalaadimine",,,,"vector parcels, rasters, WMS/WFS services","cadastral mapping, topography, land use, national base datasets",national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National/Cadastral MCP,,,,,Key national-level authority datasets for Estonia. Manual mapping applied for pattern 'geoportaal.maaamet.ee'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
google_satellite_embedding_v1_ | _earth_engine_,Google Satellite Embeddings,Google Satellite Embedding V1 Annual,Google,tech company,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_SATELLITE_EMBEDDING_V1_ANNUAL,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,https://developers.google.com/earth-engine,https://developers.google.com/earth-engine/datasets,open with terms,True,GEE dataset ID,True,True,,,,,,,,,"The Google Satellite Embedding dataset is a global, analysis-ready collection of learned geospatial embeddings. Each 10-meter pixel in this dataset is a 64-dimensional representation, or &quot;embedding vector,&quot; that encodes temporal trajectories of surface conditions at and around that pixe...",,latent embedding vectors derived from multi-spectral imagery,,raster grid (latent features),"transfer learning, feature extraction for land-use, infrastructure, and environment",global,"≈500 m (variable, depending on implementation)",,,,,annual,annual,,,,,,,,,,,,,,,,,,,,,,,EO/Feature Embeddings MCP,,,,,Precomputed embeddings can massively reduce EO feature engineering effort. Manual mapping applied for pattern 'developers.google.com/earth-engine/datasets/catalog/google_satellite_embedding_v1_annual'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
